Last Name,First Name,Date of Birth,Age,NHS No,Address,Date of death,CMS No,Name of housing officer,Supported housing,Social housing,Name of housing provider,Service/Event Desc,Service/Event Start,Service/Event End
Oconnell,Christina,1973-04-10,50,26,"38421 Raymond Viaduct Suite 889 Wilsonton, NM 84177",2003-11-18,6,skill,Yes,Yes,talk,animal,1969-09-26,1989-03-05
Freeman,Max,1972-06-14,51,36,USNV Gibson FPO AA 86101,2005-06-19,26,situation,Yes,Yes,responsibility,very,1975-02-11,1960-05-09
Chapman,Randall,2000-07-11,23,89,"3529 Brian Viaduct Suite 924 Port Alexisberg, RI 47534",1970-01-04,21,reach,No,No,budget,possible,1964-08-17,1989-05-08
Hunt,Wendy,1952-05-21,71,76,"19015 Bryant Squares Michaelberg, AR 42169",1982-01-23,1,method,Yes,Yes,record,speech,1971-11-29,1974-12-31
Wilson,Lori,1988-09-18,35,56,"5036 Montgomery Land Lake Virginia, WY 34959",1961-11-17,31,book,No,Yes,much,professor,1972-08-12,1980-11-13
Holt,Sydney,1947-02-20,76,50,"2946 Reyes Union Apt. 635 North Joseborough, ND 33768",1964-09-19,96,two,Yes,No,bad,fall,1992-04-12,1983-05-12
Brown,Grace,1956-05-31,67,71,"4927 James Mount South Danielton, AS 62606",1993-07-08,41,really,No,Yes,government,operation,1985-07-10,1959-06-22
King,Allison,2002-04-02,21,21,USNV Fields FPO AP 65936,1981-08-14,57,short,No,No,team,see,2002-08-03,2000-09-15
Alexander,Sean,1958-06-08,65,69,"491 Thomas Ville Judystad, NJ 11313",1971-10-31,9,occur,Yes,Yes,say,help,1999-08-30,1993-02-01
Miller,Antonio,1982-03-24,41,34,"6762 Brooke Forges Apt. 493 Lake John, KY 46919",1988-06-23,98,support,Yes,Yes,heavy,over,1978-07-17,1986-12-03
Johnson,Charles,1949-04-11,74,65,"795 David Hills Lake Jody, MT 56297",1969-01-12,94,among,No,No,read,within,1977-10-28,1989-11-22
Dominguez,Bradley,1979-05-26,44,65,"4402 Caleb Keys Lake Sara, VI 45781",1999-06-15,15,or,No,Yes,surface,we,1976-02-07,2000-06-02
Reyes,Joel,1998-02-23,25,32,"2608 Murphy Manors Matthewport, PR 28897",1993-08-30,2,since,No,No,couple,director,1992-01-18,1971-12-13
Gonzalez,Brian,1961-10-02,62,96,"97997 Johnny Ferry Suite 744 West Keith, MP 26470",1964-10-29,39,bar,Yes,Yes,case,myself,1988-03-05,1977-07-26
Griffin,Glenn,1992-08-14,31,30,USS Osborn FPO AE 91014,1993-12-09,69,sea,No,Yes,six,lead,1998-03-19,1999-09-11
Cummings,Kevin,1963-05-12,60,35,"174 Denise Viaduct Apt. 425 Lynchland, MA 45987",1970-08-10,46,rock,No,Yes,process,century,1984-09-22,2004-03-26
Adams,Crystal,1994-06-13,29,69,"5195 Martinez Wells Apt. 382 Port Tiffany, PA 22382",1973-03-05,92,heavy,Yes,Yes,ok,only,1979-05-11,1971-06-11
Vazquez,Bobby,1941-11-21,81,76,"372 Patrick Green Suite 400 Powellburgh, NH 49926",1974-04-15,12,near,Yes,Yes,their,design,1962-04-13,1981-07-25
Reeves,Bonnie,1972-02-22,51,19,"29319 Kevin Ridge Suite 049 South Tiffany, SC 25846",1958-08-01,82,cup,No,Yes,knowledge,total,1969-04-03,1984-07-22
Young,Kim,2000-02-22,23,37,"2096 Thomas Lights Suite 395 West Gloriaberg, GA 34198",1968-03-19,27,same,Yes,No,claim,small,1959-09-12,1991-08-09
Montgomery,Charles,1940-11-08,82,99,"17239 Wright Underpass Arnoldchester, KY 61059",1982-01-30,41,area,Yes,No,cut,body,1994-11-29,1998-03-23
Gamble,David,1978-09-26,45,64,"97733 Hill Via Brooksville, MO 53431",1992-12-05,21,against,Yes,Yes,serious,quickly,1970-09-18,1963-09-18
Burton,Lisa,1993-12-20,29,49,"747 Chambers Island Apt. 337 Ronaldberg, MH 28187",1967-02-12,7,later,Yes,Yes,such,admit,1990-11-09,1974-04-02
Walker,Rachel,1975-08-25,48,98,"3632 Eric Valleys Suite 980 Fosterbury, KY 63624",1997-04-05,4,most,Yes,No,such,focus,1998-10-21,1978-12-02
Haney,Francis,2005-03-03,18,93,"55863 Amber Street Simpsontown, MI 38800",1966-08-22,27,air,Yes,No,thing,lose,2000-05-26,1996-04-30
Jones,Jacob,1958-10-07,65,8,"8722 White Ville Apt. 814 South Jon, SD 42462",2003-10-12,54,agent,Yes,No,point,direction,1991-09-27,1970-05-17
Martinez,Brandon,1962-02-27,61,52,"54550 Barry Park Suite 805 New Melissa, NM 88612",1976-12-28,65,in,Yes,Yes,spend,democratic,1988-02-16,1999-11-25
Hill,Warren,1999-10-07,24,33,USS Mills FPO AP 90074,1979-09-12,58,think,Yes,No,my,method,1993-07-08,1992-11-09
Jones,Joshua,1969-02-17,54,83,"027 Young Ranch Sherishire, CA 61262",1982-03-25,39,hotel,Yes,Yes,cultural,but,1997-03-12,1991-05-25
Henry,Mark,1945-08-23,78,19,"536 Tyler Gateway Apt. 295 West Michaelside, OR 80238",1958-02-23,87,usually,No,No,less,nation,1971-01-05,1973-01-18
Thompson,Kelly,1940-07-22,83,11,"229 Corey Mall Suite 754 Jennybury, KY 42408",1980-01-19,35,rule,Yes,Yes,chair,style,2003-10-29,1972-11-16
Ward,Ryan,1945-05-05,78,92,"722 Michelle Forges Apt. 927 Jamesshire, VA 19258",1996-11-27,40,dream,Yes,Yes,build,support,1966-07-19,1966-03-07
Mitchell,Lindsay,1992-09-13,31,38,"7431 Brittany Cape Apt. 992 Port Richard, SD 38684",1997-10-28,2,happy,Yes,Yes,occur,treat,1977-01-02,1962-09-16
Grant,David,1965-08-05,58,46,"0875 Taylor Island Hernandezberg, AS 43900",1993-06-05,78,growth,Yes,Yes,behavior,water,2000-07-12,2001-08-29
Fuentes,Elizabeth,1999-05-01,24,74,"1121 Corey Fields Apt. 467 South Julie, UT 94842",1990-12-12,96,court,No,No,each,management,1998-03-05,1978-05-22
Garcia,Elizabeth,1956-09-16,67,49,"144 Wanda Skyway Richardberg, NH 66215",1968-03-18,8,eight,Yes,Yes,believe,article,1958-12-17,1959-12-21
Reyes,Rodney,1953-10-20,69,47,"27718 Chen Estate Apt. 433 New Katrina, NJ 40323",1972-12-23,50,house,Yes,No,practice,current,2000-01-29,2005-06-20
Williams,Adam,1943-02-28,80,82,"20590 Jennifer Fort Apt. 029 Hunthaven, CO 69122",1973-11-20,92,weight,No,Yes,long,message,2005-04-25,1999-01-09
Wilson,Patrick,1977-07-26,46,11,Unit 7800 Box 8762 DPO AE 57735,1985-02-14,58,yet,No,No,early,decade,1983-11-21,1984-03-18
Sanchez,Adam,1994-08-25,29,75,USCGC Hernandez FPO AA 50142,1983-01-02,72,against,Yes,Yes,radio,responsibility,1964-11-22,1971-09-20
Carpenter,Jessica,1997-03-03,26,88,"663 Jennifer Hollow Knappstad, MI 81359",1984-01-19,66,third,Yes,Yes,owner,agree,2004-07-20,1961-04-19
Moore,Garrett,1988-07-13,35,45,"792 Alexander Crest Apt. 684 Dannyport, CA 37551",1990-05-12,83,many,No,Yes,garden,card,2005-05-08,1983-10-03
Christensen,Amber,1977-04-10,46,75,"216 Joseph Isle Jacquelineshire, ND 33597",1965-11-06,42,have,Yes,Yes,source,power,1980-05-05,1978-09-17
Martinez,Karen,1958-12-04,64,73,"6072 Rebekah Row Ramirezfurt, UT 47735",1958-02-12,91,also,No,Yes,make,ball,1965-12-06,1968-06-02
Rodriguez,Brittney,1987-09-11,36,83,USCGC Delacruz FPO AE 02024,1990-10-07,52,whole,Yes,No,fill,shoulder,1976-10-14,2002-07-01
Pitts,Richard,1955-05-22,68,68,"19048 Sanchez Pines Lake Mark, ID 02465",1983-11-15,34,reduce,Yes,No,notice,industry,1958-03-13,1998-07-12
Smith,Brenda,1973-05-19,50,57,USCGC Johnson FPO AE 48121,1958-02-06,20,watch,Yes,No,ball,natural,1987-01-15,2001-05-26
Ruiz,Vincent,1961-07-28,62,41,"293 Thomas Junctions Apt. 378 Lake Sabrinamouth, AL 09300",1966-08-06,73,fall,Yes,Yes,activity,east,1962-11-19,1973-12-22
Chandler,Austin,1965-08-19,58,81,"8226 Cheryl Branch Apt. 088 Joneshaven, IA 08294",1959-06-05,33,get,Yes,Yes,should,choose,1993-08-12,1980-12-14
Montgomery,Jonathan,1944-08-11,79,58,Unit 8111 Box 6271 DPO AA 76831,1965-01-01,8,begin,Yes,No,water,defense,1992-05-07,1979-09-12
Bolton,Tanner,1943-07-11,80,73,"6458 Whitehead Prairie East Jacquelineview, CO 50741",1999-03-24,42,plant,Yes,Yes,every,official,1975-11-20,1996-10-08
Wright,Mike,1967-08-13,56,59,"957 Justin Unions Jamesview, FM 42098",1969-06-09,43,street,Yes,No,expect,human,1985-09-04,1984-09-14
Chapman,Kristin,1972-01-14,51,81,"131 Barker Station Apt. 761 North Katherinefurt, MT 97019",1976-10-26,81,them,Yes,Yes,attention,front,2004-01-21,2002-06-12
Hernandez,Kayla,1984-08-07,39,3,"791 Nathan River Rodriguezstad, WA 20871",1996-11-24,32,ready,Yes,No,pull,late,2000-03-15,1985-04-15
Grimes,Karen,1983-10-29,39,86,"7200 Kevin Stravenue New Cassandraborough, MI 48746",1985-07-09,40,too,Yes,Yes,should,six,1990-06-21,1997-04-05
White,Samuel,1964-06-30,59,80,"287 Green Springs Suite 843 East Tricia, MO 54834",1990-01-26,79,himself,Yes,Yes,reduce,so,1972-08-07,1998-01-18
Garcia,Henry,1957-03-31,66,13,"82561 Vasquez Lodge Pamelafurt, WA 27355",1994-01-28,42,fast,No,Yes,whom,exactly,1974-10-22,2003-02-06
Holloway,Kyle,1979-12-09,43,6,"3542 Hammond Forest Port Jacobport, ND 50867",1977-09-21,67,seven,No,No,good,night,1995-06-21,1994-05-28
Dominguez,Katrina,2005-08-04,18,75,"117 Haynes Vista Suite 942 Port Melissa, WV 94684",1961-03-17,72,try,Yes,Yes,kind,technology,1965-11-02,1966-01-14
Everett,George,1948-04-24,75,19,"892 Eric Springs Tracytown, RI 55005",1976-09-30,59,certain,No,No,he,space,1973-08-22,1986-05-27
Drake,Roger,1965-11-07,57,32,"16577 Mark Divide North Timothytown, MA 57128",1999-11-15,6,fight,No,No,idea,purpose,1975-11-09,1961-12-24
Walker,Veronica,1966-12-04,56,15,"862 Alan Gateway Suite 082 Denisebury, NM 85306",1989-05-19,61,second,Yes,No,near,several,1998-07-03,1985-06-05
Munoz,Michael,1984-11-19,38,89,"8027 Jane Shoal Leonardchester, NE 35924",1969-07-04,28,magazine,No,No,boy,grow,1987-03-18,1960-02-06
Wagner,Christy,2001-06-21,22,36,"466 Porter Crest Rogersstad, UT 58359",1966-04-04,53,certainly,Yes,No,minute,mention,1978-01-19,1972-07-28
Jones,Krista,1967-01-08,56,31,"262 Donna Spring Suite 392 Dennismouth, MI 89044",1957-11-13,31,get,No,Yes,skin,successful,1979-10-01,2001-03-04
Brown,Joanna,1973-11-12,49,46,"11726 Madden Cliffs North James, KY 40864",2005-02-12,23,speech,No,Yes,hour,play,1985-09-05,1986-07-13
Hamilton,Deborah,1948-03-23,75,32,"413 Brian Spurs Suite 105 Dominiquetown, AZ 92255",1978-03-09,45,participant,Yes,Yes,size,great,1993-11-23,1971-03-10
Carson,Richard,1990-02-04,33,11,"55535 Evan Spurs West Robert, AR 67241",1999-12-26,38,street,No,No,road,present,1974-08-23,1989-07-15
Brown,Samantha,2001-02-26,22,62,"68883 Alvarez Trace Suite 810 West Nancy, MD 73257",1974-10-08,31,use,Yes,Yes,small,public,1972-07-21,1985-12-18
Phillips,Jay,1973-12-14,49,92,"490 Daniel Locks Apt. 537 Larryhaven, WA 23275",1973-08-23,37,nor,Yes,Yes,phone,though,1985-09-16,1977-05-05
Cisneros,Dawn,2002-05-04,21,24,"18837 Haney Manors North Brittanyside, HI 27348",1977-11-17,96,firm,Yes,No,himself,relationship,1980-06-22,1962-10-06
Kramer,Michael,1955-03-10,68,60,"99176 Jonathan Station Suite 174 West Christina, MD 07367",1995-05-02,51,others,No,No,by,weight,1995-03-30,1981-09-04
White,Mariah,2000-01-21,23,16,"30667 Donald Junction Apt. 418 Ethanfort, AS 26887",1998-02-16,25,girl,Yes,Yes,can,politics,1984-01-17,2004-01-31
Roberts,Laura,1970-10-02,53,12,"PSC 9504, Box 1341 APO AP 79390",1961-11-05,61,window,Yes,Yes,site,top,1970-11-26,1973-02-09
Hansen,Joseph,1998-10-30,24,73,"8072 Green Village Suite 059 New Johnburgh, TX 47791",2005-03-02,41,artist,Yes,Yes,talk,go,1995-06-01,1994-01-26
Long,Annette,1999-12-04,23,35,Unit 9567 Box 4874 DPO AP 69635,1974-03-28,52,sit,Yes,Yes,someone,suggest,1996-04-11,1984-11-10
Davies,Julia,1993-06-27,30,7,"05924 Grant Isle Herringborough, ME 91071",1983-06-24,83,reach,No,Yes,science,respond,1970-09-04,1966-10-09
Garrett,Rebecca,1969-11-11,53,56,"493 Wanda Points Suite 466 Port Chelseashire, MH 17608",1984-04-13,30,prove,No,Yes,partner,travel,1966-08-05,1985-02-03
