Cms Id,First Name,Last Name,Date Of Birth,Gender,Address,Service Involvement,Local Authority Organisation,Contact Name,Contact Role,Contact Phone,Contact Email,Date Current As Of,Coverage Start Date,Coverage End Date,Coverage Geographic Area,Date Of Most Recent Interaction,Start Date Of Last Involvement
1435514,Gerard,Morgan,2008-03-15,Male,"4 Poole shore
South Brendashire
RH5 5AQ",Historic,Bromley Council,Jeffrey Khan,Social Worker,(0114)4960186,jkhan@bromley.gov.uk,2022-10-15 00:00:00,2018-01-01 00:00:00,2022-09-30 00:00:00,test,2018-06-16,2018-06-05
2076151,Yvonne,Adams,2013-03-19,Female,"9 Colin river
North Luketon
W79 9BB",Historic,Southwark Council,Megan Wilkinson,Social Worker,0121 4960327,mwilkinson@southwark.gov.uk,2022-10-15 00:00:00,2018-01-01 00:00:00,2022-09-30 00:00:00,test,2018-11-04,2018-12-28
7029191,Ashleigh,O'Donnell,2013-07-20,Female,"Studio 63
Hilary river
North Hannah
RM6 1LJ",Historic,Lambeth Council,Kate Powell,Social Worker,+44(0)1164960427,kpowell@lambeth.gov.uk,2022-10-15 00:00:00,2018-01-01 00:00:00,2022-09-30 00:00:00,test,2022-05-11,2020-11-04
1344036,Rebecca,Knight,2008-10-02,Female,"984 Walker stream
Port Clareborough
WA4Y 6TZ",Historic,Harrow Council,Miss Karen Duncan,Social Worker,(0306)9990744,mduncan@harrow.gov.uk,2022-10-15 00:00:00,2018-01-01 00:00:00,2022-09-30 00:00:00,test,2021-03-13,2022-04-07
1820764,Robin,Hayward,2008-03-08,Male,"153 Teresa plains
Wellsberg
G3 5JR",Current,Sutton Council,Paul Richardson,Social Worker,+44289018286,prichardson@sutton.gov.uk,2022-10-15 00:00:00,2018-01-01 00:00:00,2022-09-30 00:00:00,test,2022-01-17,2020-08-07
8232585,Maria,Lee,2013-10-30,Female,"56 Barker prairie
North Jeremy
E9 7XY",Historic,Westminster Council,Tracey Gordon,Social Worker,(0306) 9990459,tgordon@westminster.gov.uk,2022-10-15 00:00:00,2018-01-01 00:00:00,2022-09-30 00:00:00,test,2021-03-04,2021-03-04
1428071,Judith,Dixon,2007-06-28,Female,"49 Randall river
East Stewart
G7S 2EY",Historic,Bromley Council,Mrs Eileen Walker,Social Worker,+44(0)9098790132,mwalker@bromley.gov.uk,2022-10-15 00:00:00,2018-01-01 00:00:00,2022-09-30 00:00:00,test,2020-10-31,2021-11-05
3887952,Philip,Harvey,2013-09-06,Male,"48 Victoria circle
Jonesland
S2F 3PH",Current,Sutton Council,Georgina Warren-Cooper,Social Worker,+44(0)1144960382,gwarren-cooper@sutton.gov.uk,2022-10-15 00:00:00,2018-01-01 00:00:00,2022-09-30 00:00:00,test,2019-01-05,2020-10-13
1125438,Kirsty,Patel,2010-02-27,Female,"Flat 1
Kevin forest
New Jemma
EH0 3NN",Historic,Hillingdon Council,Stacey Connor,Social Worker,0113 496 0533,sconnor@hillingdon.gov.uk,2022-10-15 00:00:00,2018-01-01 00:00:00,2022-09-30 00:00:00,test,2020-01-27,2021-10-23
4751912,Elliott,Young,2006-10-13,Male,"Flat 15
Patel avenue
West Nicole
CM13 4NJ",Current,Harrow Council,Nicholas Bibi,Social Worker,+44(0)808 157 0219,nbibi@harrow.gov.uk,2022-10-15 00:00:00,2018-01-01 00:00:00,2022-09-30 00:00:00,test,2019-04-06,2018-06-13
2630799,Carolyn,Shaw,2009-03-25,Female,"Flat 58
Paul pass
West Gareth
B4G 2FD",Current,Islington Council,Charlie Smith,Social Worker,(0117)4960654,csmith@islington.gov.uk,2022-10-15 00:00:00,2018-01-01 00:00:00,2022-09-30 00:00:00,test,2021-02-09,2020-01-29
9404687,Pamela,Nicholson,2009-09-18,Female,"633 Deborah falls
East Chloeburgh
M7T 8SN",Historic,Hounslow Council,Dr Alan Wilson,Social Worker,+44115 496 0845,dwilson@hounslow.gov.uk,2022-10-15 00:00:00,2018-01-01 00:00:00,2022-09-30 00:00:00,test,2020-09-09,2021-09-04
1756061,Georgia,Lewis,2010-01-12,Female,"Flat 85
Jonathan corners
East Tony
NE6E 3XA",Current,Hounslow Council,Dr Jayne Thompson,Social Worker,(0117) 496 0384,dthompson@hounslow.gov.uk,2022-10-15 00:00:00,2018-01-01 00:00:00,2022-09-30 00:00:00,test,2018-05-05,2020-05-25
8432801,Gerald,Douglas,2013-07-16,Male,"52 Naylor rapids
Shawmouth
FY39 0SU",Historic,Southwark Council,Mary Marshall,Social Worker,+44(0)1184960355,mmarshall@southwark.gov.uk,2022-10-15 00:00:00,2018-01-01 00:00:00,2022-09-30 00:00:00,test,2019-06-19,2020-05-31
7961174,Vanessa,Roberts,2009-02-20,Female,"475 Pamela ranch
Lake Carolineton
W68 5LS",Current,Lewisham Council,Josephine Green,Social Worker,+44141 4960062,jgreen@lewisham.gov.uk,2022-10-15 00:00:00,2018-01-01 00:00:00,2022-09-30 00:00:00,test,2020-05-27,2020-04-07
8064763,Darren,Ward,2014-10-07,Male,"1 Baker fields
Akhtarbury
M0W 7XD",Historic,Ealing Council,Tracey Schofield,Social Worker,+44289018434,tschofield@ealing.gov.uk,2022-10-15 00:00:00,2018-01-01 00:00:00,2022-09-30 00:00:00,test,2019-12-16,2022-06-14
7210175,Josh,Watson,2015-02-24,Male,"Studio 2
Schofield lodge
Kieranborough
LS1Y 8WR",Historic,Newham Council,Mrs Harriet Cooper,Social Worker,+44289018257,mcooper@newham.gov.uk,2022-10-15 00:00:00,2018-01-01 00:00:00,2022-09-30 00:00:00,test,2020-12-11,2022-02-21
1351326,Aimee,Little,2007-07-22,Female,"Studio 21
Charles landing
Thompsonchester
B17 0LS",Not Specified,Enfield Council,Rachael Murphy,Social Worker,+44(0)117 496 0106,rmurphy@enfield.gov.uk,2022-10-15 00:00:00,2018-01-01 00:00:00,2022-09-30 00:00:00,test,2019-12-29,2021-01-11
7922825,Mathew,Henderson,2015-09-15,Male,"Studio 7
Phillip key
Gillshire
RM6X 4UD",Historic,Islington Council,Marcus Walsh,Social Worker,(0117) 4960105,mwalsh@islington.gov.uk,2022-10-15 00:00:00,2018-01-01 00:00:00,2022-09-30 00:00:00,test,2018-11-21,2019-03-22
4006014,Ronald,Harrison,2012-09-27,Male,"Flat 63i
Burton ways
Davisland
S46 6FD",Current,Bromley Council,Rhys Stephens,Social Worker,+441214960163,rstephens@bromley.gov.uk,2022-10-15 00:00:00,2018-01-01 00:00:00,2022-09-30 00:00:00,test,2019-01-31,2018-06-19
9703955,Mohammed,Long,2011-01-17,Male,"Studio 08d
Smith prairie
Malcolmside
W1E 7UQ",Historic,Lambeth Council,Kathleen Norris,Social Worker,0115 496 0288,knorris@lambeth.gov.uk,2022-10-15 00:00:00,2018-01-01 00:00:00,2022-09-30 00:00:00,test,2018-08-03,2020-03-16
5655520,Abigail,Newman,2016-01-27,Female,"892 Frost camp
Julieburgh
M70 7WP",Current,Barnet Council,Michelle Wood,Social Worker,+44(0)118 496 0342,mwood@barnet.gov.uk,2022-10-15 00:00:00,2018-01-01 00:00:00,2022-09-30 00:00:00,test,2019-07-05,2022-02-12
7931312,Sean,Adams,2016-11-04,Male,"632 Tomlinson path
West Emilyhaven
HA4 6BU",Current,Lewisham Council,Damian Kelly,Social Worker,+44(0)121 496 0847,dkelly@lewisham.gov.uk,2022-10-15 00:00:00,2018-01-01 00:00:00,2022-09-30 00:00:00,test,2019-01-25,2021-04-01
5261907,Gemma,Thomas,2016-12-25,Female,"Flat 86Q
Raymond centers
Marianside
M08 3BD",Historic,Croydon Council,Teresa Jackson,Social Worker,+44(0)191 4960496,tjackson@croydon.gov.uk,2022-10-15 00:00:00,2018-01-01 00:00:00,2022-09-30 00:00:00,test,2018-06-20,2019-05-12
5309867,Margaret,Knowles,2006-01-19,Female,"95 Bevan glen
Warrenfurt
L90 9RW",Historic,Wandsworth Council,Mr Jeremy Willis,Social Worker,(0306)9990070,mwillis@wandsworth.gov.uk,2022-10-15 00:00:00,2018-01-01 00:00:00,2022-09-30 00:00:00,test,2019-06-16,2018-04-30
5224085,Mandy,Roberts,2007-12-28,Female,"Flat 06y
Marc oval
East Alison
NN00 5PZ",Current,Redbridge Council,Steven Young-Collins,Social Worker,+441914960333,syoung-collins@redbridge.gov.uk,2022-10-15 00:00:00,2018-01-01 00:00:00,2022-09-30 00:00:00,test,2021-12-28,2020-03-21
2808759,Carol,Steele,2007-03-30,Female,"91 Mary estates
Rachelside
CW2 6PJ",Historic,Hackney Council,Ms Francesca Matthews,Social Worker,(0115) 496 0174,mmatthews@hackney.gov.uk,2022-10-15 00:00:00,2018-01-01 00:00:00,2022-09-30 00:00:00,test,2019-08-07,2020-01-16
6640452,Anne,Smith,2013-09-14,Female,"Studio 98d
Harper circle
Lake Charlene
NE1 5LP",Historic,Wandsworth Council,Ben Burke,Social Worker,+441614960622,bburke@wandsworth.gov.uk,2022-10-15 00:00:00,2018-01-01 00:00:00,2022-09-30 00:00:00,test,2020-06-10,2019-09-17
9658644,Melanie,Owen,2012-11-09,Female,"Studio 7
Mason forges
North Jamie
E0K 3UP",Historic,Croydon Council,Ms Claire Barber,Social Worker,0121 496 0433,mbarber@croydon.gov.uk,2022-10-15 00:00:00,2018-01-01 00:00:00,2022-09-30 00:00:00,test,2019-12-06,2022-02-25
5194489,Gordon,James,2013-03-03,Male,"Studio 17
Shaw stream
South Elliottchester
S85 1FE",Current,Hounslow Council,Dr Ricky Walsh,Social Worker,+44(0)1614960993,dwalsh@hounslow.gov.uk,2022-10-15 00:00:00,2018-01-01 00:00:00,2022-09-30 00:00:00,test,2021-12-20,2018-04-20
9414046,Anthony,Bull,2013-04-09,Male,"Studio 29T
Lewis forest
Lake Kennethmouth
E2 8ZG",Historic,Havering Council,Frank Gill,Social Worker,(0191)4960662,fgill@havering.gov.uk,2022-10-15 00:00:00,2018-01-01 00:00:00,2022-09-30 00:00:00,test,2022-09-11,2021-01-10
5670112,Joanne,Thomas,2009-07-09,Female,"Flat 30
Ben throughway
South Lesley
BN7 1SB",Historic,Bromley Council,Elizabeth Williams,Social Worker,(020)74960970,ewilliams@bromley.gov.uk,2022-10-15 00:00:00,2018-01-01 00:00:00,2022-09-30 00:00:00,test,2018-08-31,2018-10-03
2767501,Marcus,Warren,2008-03-23,Male,"030 Jay lodge
South Darren
LA6 7AF",Current,Haringey Council,Ruth Briggs,Social Worker,01144960668,rbriggs@haringey.gov.uk,2022-10-15 00:00:00,2018-01-01 00:00:00,2022-09-30 00:00:00,test,2020-01-14,2021-03-12
8535113,Victor,Jones,2013-12-20,Male,"Studio 84e
Callum wells
East Karl
N2 5XJ",Historic,Brent Council,Alan Stevens,Social Worker,+44(0)161 496 0005,astevens@brent.gov.uk,2022-10-15 00:00:00,2018-01-01 00:00:00,2022-09-30 00:00:00,test,2019-07-16,2022-08-03
1486264,Bethany,Webb,2013-09-02,Female,"Flat 87
Fletcher road
New Rickyfurt
M1 4BQ",Historic,Lewisham Council,Claire Bennett,Social Worker,+441154960737,cbennett@lewisham.gov.uk,2022-10-15 00:00:00,2018-01-01 00:00:00,2022-09-30 00:00:00,test,2020-09-12,2018-04-01
7387233,Chelsea,Hunt,2017-10-31,Female,"Flat 32
Adams circle
Howardbury
HR6 4LP",Historic,Westminster Council,Douglas Shaw,Social Worker,0114 496 0301,dshaw@westminster.gov.uk,2022-10-15 00:00:00,2018-01-01 00:00:00,2022-09-30 00:00:00,test,2018-08-22,2019-11-29
6936559,Josh,Gardner,2013-04-30,Male,"Studio 19
Leonard brook
Hayleyfort
HA8B 8DF",Historic,Ealing Council,Frederick Collier-Savage,Social Worker,+441184960082,fcollier-savage@ealing.gov.uk,2022-10-15 00:00:00,2018-01-01 00:00:00,2022-09-30 00:00:00,test,2022-06-01,2021-08-07
7312673,Angela,Naylor,2007-05-01,Female,"2 Eleanor route
West Brett
L3 4LL",Current,Redbridge Council,Mr Mohamed Rogers,Social Worker,(0808)1570474,mrogers@redbridge.gov.uk,2022-10-15 00:00:00,2018-01-01 00:00:00,2022-09-30 00:00:00,test,2018-02-03,2018-01-19
7538354,Lorraine,Khan,2017-10-28,Female,"Flat 2
Jordan plain
Jacksonland
LS48 0EZ",Current,Havering Council,Ricky Wilson,Social Worker,+441144960274,rwilson@havering.gov.uk,2022-10-15 00:00:00,2018-01-01 00:00:00,2022-09-30 00:00:00,test,2019-05-27,2019-05-08
9694769,Eileen,Davies,2013-01-25,Female,"Studio 87f
Katie valleys
Debraland
DN3 0SP",Current,Ealing Council,Kim Webb-Abbott,Social Worker,0191 498 0885,kwebb-abbott@ealing.gov.uk,2022-10-15 00:00:00,2018-01-01 00:00:00,2022-09-30 00:00:00,test,2020-06-01,2018-05-26
1610235,Justin,Mahmood,2007-11-24,Male,"Flat 2
Williams vista
New Yvonne
B5D 0XA",Current,Harrow Council,Robin Marshall,Social Worker,(0808) 1570575,rmarshall@harrow.gov.uk,2022-10-15 00:00:00,2018-01-01 00:00:00,2022-09-30 00:00:00,test,2020-01-20,2018-10-30
6871323,Tina,Cooke,2008-09-14,Female,"74 Price lock
West Abbie
SL3H 4XE",Historic,Lambeth Council,Amanda Barton,Social Worker,+44141 4960242,abarton@lambeth.gov.uk,2022-10-15 00:00:00,2018-01-01 00:00:00,2022-09-30 00:00:00,test,2022-07-31,2018-03-27
4201137,Danielle,Harris,2010-04-22,Female,"88 Lee crossing
New Glen
DH9 8FQ",Current,Hackney Council,Marc Robinson,Social Worker,+4420 74960360,mrobinson@hackney.gov.uk,2022-10-15 00:00:00,2018-01-01 00:00:00,2022-09-30 00:00:00,test,2018-11-02,2022-07-03
1346061,Judith,Jones,2012-01-22,Female,"Flat 66
James forks
New Davidport
N3 7UA",Historic,Barnet Council,Dr Howard O'Connor,Social Worker,0909 8790238,do'connor@barnet.gov.uk,2022-10-15 00:00:00,2018-01-01 00:00:00,2022-09-30 00:00:00,test,2020-03-10,2018-10-26
9480650,Joseph,Wright,2006-04-01,Male,"84 Morrison viaduct
Terryfort
L82 6ZA",Current,Westminster Council,Kathryn Marsh,Social Worker,+44161 4960119,kmarsh@westminster.gov.uk,2022-10-15 00:00:00,2018-01-01 00:00:00,2022-09-30 00:00:00,test,2020-01-13,2020-10-09
9631761,Terry,Evans,2014-12-24,Male,"Studio 46
Watkins fort
New Jennashire
G52 5NQ",Current,Waltham Forest Council,Mr Jason Palmer,Social Worker,0116 496 0998,mpalmer@walthamforest.gov.uk,2022-10-15 00:00:00,2018-01-01 00:00:00,2022-09-30 00:00:00,test,2019-04-29,2018-04-20
6413877,Stephanie,Matthews,2006-10-14,Female,"34 Foster shore
Lake Tobyburgh
W0 6WB",Current,Redbridge Council,Mark Sutton-Walker,Social Worker,+441914960620,msutton-walker@redbridge.gov.uk,2022-10-15 00:00:00,2018-01-01 00:00:00,2022-09-30 00:00:00,test,2021-10-22,2022-02-21
6572486,Amber,Moore,2008-08-09,Female,"Flat 21
Holly fields
Francescaborough
HR9N 8UP",Current,Lambeth Council,Joanne Russell,Social Worker,+4429 2018 0739,jrussell@lambeth.gov.uk,2022-10-15 00:00:00,2018-01-01 00:00:00,2022-09-30 00:00:00,test,2021-08-15,2022-09-16
9962872,Hugh,Phillips,2014-07-12,Male,"Flat 7
Craig heights
West Susanton
L77 3FU",Historic,Barnet Council,Mr Justin Nolan,Social Worker,029 2018720,mnolan@barnet.gov.uk,2022-10-15 00:00:00,2018-01-01 00:00:00,2022-09-30 00:00:00,test,2019-03-25,2022-09-24
8926216,Mathew,Adams,2016-05-20,Male,"Studio 9
Elliott mountains
Peterland
G2 4XR",Current,Bromley Council,Max Martin,Social Worker,+441414960967,mmartin@bromley.gov.uk,2022-10-15 00:00:00,2018-01-01 00:00:00,2022-09-30 00:00:00,test,2019-11-19,2018-06-02
2507197,Julia,Barker,2017-02-05,Female,"6 Burns cliffs
Port Jeffreyberg
S21 0QP",Current,Newham Council,Mohamed Perry,Social Worker,0151 496 0859,mperry@newham.gov.uk,2022-10-15 00:00:00,2018-01-01 00:00:00,2022-09-30 00:00:00,test,2018-11-01,2022-06-19
8117373,Maureen,Kent,2006-04-25,Female,"Flat 0
May knolls
Jeffreytown
GY68 2DL",Current,Barnet Council,Ellie Rose,Social Worker,+441154960184,erose@barnet.gov.uk,2022-10-15 00:00:00,2018-01-01 00:00:00,2022-09-30 00:00:00,test,2019-02-22,2018-04-08
5052372,Eileen,Miah,2014-10-01,Female,"Flat 6
Donna crossing
Ashtonville
M91 6DZ",Current,Croydon Council,Teresa Matthews-Hunt,Social Worker,(0808) 1570017,tmatthews-hunt@croydon.gov.uk,2022-10-15 00:00:00,2018-01-01 00:00:00,2022-09-30 00:00:00,test,2019-10-18,2018-03-28
6333759,Phillip,Pritchard,2007-10-25,Male,"Flat 31e
Jones flats
Thomasmouth
GL19 5PQ",Current,Merton Council,Beverley Williams,Social Worker,0151 4960963,bwilliams@merton.gov.uk,2022-10-15 00:00:00,2018-01-01 00:00:00,2022-09-30 00:00:00,test,2021-01-13,2020-05-29
8391536,Julie,Smith,2016-05-01,Female,"643 Morgan mountain
Anthonychester
BN2 2QW",Historic,Newham Council,Pauline Burrows,Social Worker,+44(0)29 2018739,pburrows@newham.gov.uk,2022-10-15 00:00:00,2018-01-01 00:00:00,2022-09-30 00:00:00,test,2022-04-28,2019-02-05
6049261,Amanda,Harris,2013-05-14,Female,"Flat 20
Dale harbor
Jodiefurt
N1 0HY",Current,Bromley Council,Mr Allan Kent,Social Worker,+44(0)116 496 0163,mkent@bromley.gov.uk,2022-10-15 00:00:00,2018-01-01 00:00:00,2022-09-30 00:00:00,test,2018-08-12,2019-06-01
7662588,Leslie,Lowe,2013-05-24,Male,"Flat 9
Declan tunnel
North Leigh
S47 8TR",Historic,Lambeth Council,Suzanne Edwards,Social Worker,+441632 960 201,sedwards@lambeth.gov.uk,2022-10-15 00:00:00,2018-01-01 00:00:00,2022-09-30 00:00:00,test,2019-11-25,2021-09-07
4080489,Guy,Potts,2013-10-31,Male,"Flat 53
Patrick road
Lake Abbie
PR7 1UR",Current,Bexley Council,Rachael Taylor,Social Worker,+441514960058,rtaylor@bexley.gov.uk,2022-10-15 00:00:00,2018-01-01 00:00:00,2022-09-30 00:00:00,test,2021-03-29,2018-08-20
8266646,Jayne,Hurst,2010-03-03,Female,"753 Wood underpass
Ruthborough
LE3 7HH",Current,Waltham Forest Council,Janet Ball,Social Worker,+44115 4960795,jball@walthamforest.gov.uk,2022-10-15 00:00:00,2018-01-01 00:00:00,2022-09-30 00:00:00,test,2019-09-19,2021-11-16
6194309,Paige,Akhtar,2016-07-15,Female,"74 Turner shoals
Lake Angela
L73 6FP",Current,Hackney Council,Kirsty Fox,Social Worker,+44115 496 0637,kfox@hackney.gov.uk,2022-10-15 00:00:00,2018-01-01 00:00:00,2022-09-30 00:00:00,test,2019-08-05,2018-01-20
3624107,Conor,Johnson,2008-03-23,Male,"Flat 9
West ranch
New Ericmouth
L7J 3JZ",Current,Merton Council,Dennis Wade,Social Worker,0118 4960156,dwade@merton.gov.uk,2022-10-15 00:00:00,2018-01-01 00:00:00,2022-09-30 00:00:00,test,2018-03-30,2019-06-17
